keys,en,es
Text/73/text,"Whoa, I got a long text message from a girl named Claire.","Vaya, me acaba de llegar un mensaje muy largo de una chica llamada Claire"
Text/74/text,I wonder who she is.,Me pregunto quién sera...
Text/75/text,"Clark, I've been trying to contact you for the past month and it's been impossible for me.","Clark, he estado intentando contactar contigo este último mes y me hs sido imposible"
Text/76/text,"I've knocked your door and no one opened, I called you several times and no one answered even though I know you're there.","He tocado tu puerta y nadie me abrió, te he llamado múltiples veces y nadie contestó"
Text/77/text,I'm not in a great mental health mood and you knew that. This silence treatment doesn't do any well to me.,Mi salud mental no está en muy buen estado y lo sabes. Este tratamiento silencioso no me hace ningún bien.
Text/78/text,The best solution is that we break up.,Lo mejor será que rompamos
Text/79/text,"Oh, right. I had a girlfriend","Oh, es verdad. Tenía una novia."
Text/7a/text,I still remember when you used to take to the movies or dinner. I was so happy to share my life with with you.,Aún recuerdo cuando solías llevarme al cine o a cenar. Era tan feliz compartiendo mi vida contigo
Text/7b/text,"Tch, whatever.",Sí. Lo que tú digas.
Text/7c/text,I was so happy that I actually was going to propose marriage to you. I already had the rings. I guess I'll give them to my sister.,Era tan feliz que te iba a proponer matrimonio. Ya tenía los anillos. Supongo que se los daré a mi hermana
Text/7d/text,"I don't wish you any bad, Clark. I just hope that you can think about your actions and become a better partner for the next person that stumbles upon you.","No te deseo ningún mal, Clark. Solamente espero que recapacites sobre tus acciones y te conviertas en una mejor pareja para la siguiente persona que se cruze contigo"
Text/7e/text,"Best of luck, Claire.","Suerte en la vida, Claire"
Text/7f/text,What a wasteful long text. She can go if she wants. She propably was cheating on me,Vaya tocho de mensaje. Que se vaya si quiere. Probablemente me estuviera siendo infiel
Text/80/text,She even says that she was gonna propose marriage. As if I have time for that,Hasta me iba a proponer matrimonio. Como si tuviera tiempo para eso.
Text/81/text,"Oh wait, I have another text message. It's from a dude called Bob","Oh, espera. Tengo otro mensaje. Este es un tío llamado Bob"
Text/82/text,"Man, where the hell are you? You haven't been going to work for the past month.","Tío, ¿dónde demonios estás? No has venido a trabajar en el último mes"
Text/83/text,I've been covering your back ever since. The boss thinks you're sick,Te he estado cubriendo la espalda todo este tiempo. El jefe cree que estás enfermo
Text/84/text,I can only help you so much. Please come back or at least call me so you know you're alive.,No puedo ayudarte eternamente. Por favor vuelve o al menos llámame para saber que sigues vivo
Text/85/text,"Oh, yeah. I worked as a salesman.","Ah, sí. Trabajo de vendedor"
Text/86/text,"I absolutely hated that job. They were planning on firing me. They never said anything about that, but I knew it.","Aborrezco ese trabajo. Seguro que planeaban despedirme. Nunca me dijeron nada al respecto, pero podía sentirlo"
Text/87/text,I bougth a new game.,He comprado un nuevo juego
Text/88/text,I love this console. It's the first console that lets me buy games online.,Me encanta esta consola. Es la primera consola que me deja comprar juegos por internet
Text/89/text,I don't even have to go outside,Ni siquiera tengo que salir de casa
Text/8a/text,"This new game is called ""SpaceRun""","Este nuevo juego se llama ""SpaceRun"""
Text/8b/text,I don't know if it's gonna be good.,No sé si será bueno
Text/8c/text,I only bought it because it was on sale,Solo lo compré porque estaba rebajado
Text/8d/text,Objective: Get at least {space_run_target} points on SpaceRun,Objetivo: consigue al menos {space_run_target} en SpaceRun
