keys,en,es
Text/33/text,"I got a text message from a person I have saved as ""Mr. Robinson""","Tengo un nuevo mensaje de texto de una persona llamada ""Sr. Robinson"""
Text/34/text,I think he's my boss,Creo que es mi jefe
Text/35/text,"Mr. Clark, you've been absent from work for several months without giving any sign of life.","Sr. Clark, has estado ausente del trabajo por varios meses sin dar ninguna señal de vida."
Text/36/text,You left me with no choice but to fire you.,Me has dejado sin ninguna opción más que el despido
Text/37/text,"Yeah, sure","Sí, Claro"
Text/38/text,"Clark, you were a really good salesman. One of the best, in fact. I was gonna name you ""employee of the month""","Clark, relamente eras buen vendedor. Uno de los mejores, de hecho. Iba a nombrarte ""empleado del mes"""
Text/39/text,"I don't know what happened to you, but I hope that, wherever you are right now, you're safe and sound","No sé que te habrá pasado, pero espero que, dondequiera que estés, estés sano y salvo"
Text/3a/text,"Tch, ""employee of the month"", he said","Tch, ""empleado del mes"" dice."
Text/3b/text,I don't need a goddamn medal from anyone,No necesito una maldita medalla de nadie.
Text/3c/text,"Shut up, Leon. Go outside or whatever if you wanna poop","Cállate, Leon. Ve afuera si quieres hacer tus necesidades."
Text/3d/text,"Anyway, today I purchased a new title: ""Snake""","Hoy he comprado un nuevo título: ""Snake"""
Text/3e/text,This one is a classic from my childhood,Este es un clásico de mi infancia
Text/3f/text,I'm willing to have a lot of fun with it,Espero divertirme mucho con él
Text/40/text,Objective: get at least {snake_target} points in Snake,Objetivo: Consigue al menos {snake_target} en Snake.
