keys,en,es
Text/94/text,"Another day, another cool play.","Otro día, otra partida"
Text/95/text,I think I wanna play snake today.,Creo que hoy me apetece jugar a Snake
Text/96/text,Let's turn the GameStation 69 on.,Voy a encender la GameStation 69
Text/97/text,...,...
Text/98/text,It doesn't turn on.,No se enciende.
Text/99/text,I'm gonna try again.,Voy a volver a intentarlo.
Text/9a/text,...,...
Text/9b/text,Still nothing.,Nada.
Text/9c/text,I think the internals melted due to excessive use,Creo que los componentes intenro se han fundido por exceso de uso.
Text/9d/text,...,...
Text/9e/text,...,...
Text/9f/text,So... what now?,Así que... ¿ahora qué?
Text/a0/text,All my games and save files were there.,Todos mis juegos estaban ahí
Text/a1/text,"I can't see Claire or hug her because I lost her. Man, I loved her so much. She was so sweet.","No puedo ir a ver a Claire o abrazarla porque la he perdido. Tío, la quería muchísimo. Era tan dulce."
Text/a2/text,I can't go to work because I got fired. I loved that place.,No puedo ir a trabajar porque me han despedido. Me encantaba trabajar ahí.
Text/a3/text,I was surrounded by very nice people.,Estaba rodeado por gente muy buena.
Text/a4/text,"And my sweet boy, Leon.","Y mi nino, Leon"
Text/a5/text,Oh god... what have I done?,Oh dío mío... ¿Pero qué he hecho?
Text/a6/text,I think I'll go to bed.,Creo que volveré a ir a la cama.
Text/a7/text,I don't know when I'll wake up.,No sé cuando me despertaré
Text/a8/text,Or even if I'll ever wake up.,O si me volveré a despertar
Text/a9/text,I just don't want to feel anything right now.,"Simplemente, no quiero sentir nada ahora."
