keys,en,es
Text/1d/text,I got a letter.,He recibido una carta
Text/1e/text,It's the first one I had in months.,Es la primera que me llega en meses.
Text/1f/text,"It says it's from ""Lionsgate Real Estate""","Dice que es de ""Lionsgate Real Estate"""
Text/20/text,I think it's about my rent.,Creo que tiene algo que ver con mi alquiler.
Text/21/text,"Greetings, Mr. Clark.","Saludos, Sr. Clark."
Text/22/text,We reach out to you about the repeated non-payment of your rent.,Nos ponemos en contacto con usted por el impago repetido de su alquiler.
Text/23/text,"Since it's been several months since we've received any news from you,","Puesto que han pasado varios meses desde que recibimos noticias de usted,"
Text/24/text,We feel obligated to evict you from our property,Nos vemos obligados a desalojarle de su vivienda.
Text/25/text,You have 15 days to leave or we'll be forced to eject you.,Tiene 15 días para abandonar el inmueble o tendremos que expulsarle
Text/26/text,What? They're planning to kick me out of my house?,¿Qué? ¿Piensan echarme de mi casa?
Text/27/text,...,...
Text/28/text,I don't know what to do now.,No sé que hacer.
Text/29/text,I can't live in Claire's place because I lost her.,No puedo irme a casa de Claire porque la he perdido.
Text/2a/text,I don't think my mom would wanna let me in since I haven't answered her calls in days.,No creo que mi madre quiera acogerme porque no he respondido sus llamadas en meses
Text/2b/text,...,...
Text/2c/text,I'm too anxious.,Estoy muy agobiado
Text/2d/text,I need to play something.,Necesito jugar algo
Text/2e/text,...,...
Text/2f/text,Thank you for your purchase.,Gracias por su compra
Text/30/text,"I just bought this game called ""FinalBattle"".","Acabo de comprar un juego llamado ""FinalBattle"""
Text/31/text,Maybe the title is a bit to epic but it could be cool.,Igual es título es un poquito épico pero puede estar bien
Text/32/text,Objective: Get at least {final_battle_target} points in FinalBattle.,Objetivo: consigue al menos {final_battle_target} en FinalBattle
